2023-12-12 01:53:02.649436	https://www.encodeproject.org/report/?type=Annotation&encyclopedia_version=current&annotation_type=candidate+Cis-Regulatory+Elements&annotation_type=chromatin+state&annotation_type=representative+DNase+hypersensitivity+sites&status=released&software_used.software.name=chromhmm&limit=all
ID	Accession	Targets	Target	Biosample term name	Description	Lab	Project	Status	Organism	Life stage	Age	Age units	Software used	Annotation treatment
/annotations/ENCSR999UAF/	ENCSR999UAF			large intestine	ChromHMM 18-state model of BSS01121: large intestine male embryo (115 days) from donor(s) ENCDO999JZG	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	115	day	chromhmm	
/annotations/ENCSR208SFF/	ENCSR208SFF			NB4	ChromHMM 18-state model of BSS01356: NB4 from donor(s) ENCDO000ADG	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR172PMI/	ENCSR172PMI			eye	ChromHMM 18-state model of BSS00329: eye female embryo (76 days) from donor(s) ENCDO237NAG	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	76	day	chromhmm	
/annotations/ENCSR502MNA/	ENCSR502MNA			MM.1S	ChromHMM 18-state model of BSS01274: MM.1S from donor(s) ENCDO697GBW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR839PII/	ENCSR839PII			neuronal stem cell	ChromHMM 18-state model of BSS01371: neural stem progenitor cell originated from H1-hESC from donor(s) ENCDO000AAW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR286TDA/	ENCSR286TDA			WERI-Rb-1	ChromHMM 18-state model of BSS01890: WERI-Rb-1 from donor(s) ENCDO000ADT	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR258MEQ/	ENCSR258MEQ			heart left ventricle	ChromHMM 18-state model of BSS00509: heart left ventricle female embryo (136 days) from donor(s) ENCDO294LOE	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	136	day	chromhmm	
/annotations/ENCSR861MWV/	ENCSR861MWV			heart right ventricle	ChromHMM 18-state model of BSS00524: heart right ventricle male adult (34 years) from donor(s) ENCDO058AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	34	year	chromhmm	
/annotations/ENCSR722KLG/	ENCSR722KLG			lung	ChromHMM 18-state model of BSS01195: lung female embryo (76 days) from donor(s) ENCDO237NAG	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	76	day	chromhmm	
/annotations/ENCSR562YEJ/	ENCSR562YEJ			left kidney	ChromHMM 18-state model of BSS01134: left kidney male embryo (115 days) from donor(s) ENCDO816OTW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	115	day	chromhmm	
/annotations/ENCSR282YFW/	ENCSR282YFW			spleen	ChromHMM 18-state model of BSS01634: spleen male child (3 years) from donor(s) ENCDO478OMA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	child	3	year	chromhmm	
/annotations/ENCSR758NNE/	ENCSR758NNE			lung	ChromHMM 18-state model of BSS01196: lung female embryo (82 days) from donor(s) ENCDO058TGV	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	82	day	chromhmm	
/annotations/ENCSR190QTJ/	ENCSR190QTJ			retinal pigment epithelial cell	ChromHMM 18-state model of BSS01505: retinal pigment epithelial cell from donor(s) ENCDO107AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR915DID/	ENCSR915DID			HL-60	ChromHMM 18-state model of BSS00702: HL-60 from donor(s) ENCDO000AAM	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR979NIW/	ENCSR979NIW			placenta	ChromHMM 18-state model of BSS01438: placenta female embryo (113 days) from donor(s) ENCDO022PVU,ENCDO676JUB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR440JKI/	ENCSR440JKI			stomach	ChromHMM 18-state model of BSS01655: stomach male embryo (108 days) from donor(s) ENCDO132ASK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	108	day	chromhmm	
